0,16	12005
0,16	12298
0,14	12470
0,15	11954
0,14	11672
0,15	11752
0,11	11657
0,09	11741
0,09	11350
0,08	11284
0,08	11264
0,09	11133
0,08	10792
0,09	10410
0,07	10240
0,07	10383
0,08	10400
0,09	9705
0,09	9740
0,10	9460
0,09	9637
0,09	9616
0,09	9255
0,09	8964
0,09	9060
0,12	8718
0,11	8962
0,11	8663
0,11	8538
0,12	8521
0,12	8655
0,13	8251
0,13	8235
0,14	8017
0,14	7877
0,12	7869
0,12	7939
0,24	7927
0,34	7829
0,38	7845
0,36	7977
0,37	7910
0,37	7451
0,38	7799
0,39	7749
0,40	7853
0,40	7904
0,40	7740
0,41	7409
0,54	7529
0,65	7635
0,66	7528
0,79	7202
0,90	7056
0,91	6861
1,04	6977
1,15	6981
1,16	7132
1,15	6801
1,15	6520
1,16	6610
